Read the numbered studio archive below. Preserve the facts. After reading all records, return only the color named in the final record.
Record 0112: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0113: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0114: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0115: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0116: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0117: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0118: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0119: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0120: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0121: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0122: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0123: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0124: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0125: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0126: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0127: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0128: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0129: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0130: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0131: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0132: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0133: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0134: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0135: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0136: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0137: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0138: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0139: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0140: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0141: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0142: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0143: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0144: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0145: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0146: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0147: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0148: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0149: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0150: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0151: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0152: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0153: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0154: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0155: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0156: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0157: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0158: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0159: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0160: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0161: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0162: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0163: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0164: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0165: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0166: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0167: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0168: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0169: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0170: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0171: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0172: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0173: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0174: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0175: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0176: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0177: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0178: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0179: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0180: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0181: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0182: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0183: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0184: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0185: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0186: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0187: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0188: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0189: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0190: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0191: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0192: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0193: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0194: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0195: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0196: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0197: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0198: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0199: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0200: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0201: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0202: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0203: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0204: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0205: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0206: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0207: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0208: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0209: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0210: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0211: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0212: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0213: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0214: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0215: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0216: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0217: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0218: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0219: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0220: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0221: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0222: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0223: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0224: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0225: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0226: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0227: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0228: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0229: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0230: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0231: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0232: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0233: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0234: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0235: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0236: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0237: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0238: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0239: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0240: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0241: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0242: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0243: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0244: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0245: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0246: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0247: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0248: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0249: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0250: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0251: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0252: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0253: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0254: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0255: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0256: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0257: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0258: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0259: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0260: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0261: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0262: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0263: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0264: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0265: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0266: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0267: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0268: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0269: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0270: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0271: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0272: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0273: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0274: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0275: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0276: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0277: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0278: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
